cohort,sample_index,match_id,hit_frame,true_class,pred_class,confidence,smash_drop_margin,hit_area,hit_height,court_zone,aroundhead,backhand,ball_round,prev_shot,raw_hv_ratio,early_post_vel,vel_decay_ratio
Top30_DROP_to_SMASH,1020,MATCH31,46760,DROP,SMASH,0.9097,2.3942,4,1,Midcourt,0,0,7,LIFT/CLEAR,1.6739,1.9041,1.3443
Top30_DROP_to_SMASH,960,MATCH08,63279,DROP,SMASH,0.8992,2.5523,6,1,Midcourt,1,0,6,LIFT/CLEAR,1.4659,2.9227,1.0027
Top30_DROP_to_SMASH,956,MATCH08,53133,DROP,SMASH,0.8726,2.3893,4,1,Midcourt,1,0,3,CLEAR,1.6386,2.6537,0.9684
Top30_DROP_to_SMASH,1085,MATCH38,34880,DROP,SMASH,0.8181,1.6694,8,1,Rearcourt,1,0,7,LIFT/CLEAR,1.4347,2.3234,1.0362
Top30_DROP_to_SMASH,959,MATCH08,61595,DROP,SMASH,0.8179,1.7991,5,1,Midcourt,0,0,9,PUSH/DRIVE,1.8795,2.7475,1.0390
Top30_DROP_to_SMASH,926,MATCH07,79794,DROP,SMASH,0.8024,1.5967,9,1,Rearcourt,0,0,7,LIFT/CLEAR,2.2648,2.0638,1.2800
Top30_DROP_to_SMASH,1064,MATCH37,61682,DROP,SMASH,0.8016,1.6763,8,1,Rearcourt,1,0,10,LIFT/CLEAR,1.7162,3.3082,0.8565
Top30_DROP_to_SMASH,1100,MATCH38,50525,DROP,SMASH,0.8014,2.0287,8,1,Rearcourt,0,0,2,UNKNOWN,1.7026,2.3057,1.0313
Top30_DROP_to_SMASH,916,MATCH07,70558,DROP,SMASH,0.7976,1.5704,6,1,Midcourt,0,0,4,CLEAR,1.7312,3.0365,1.0060
Top30_DROP_to_SMASH,941,MATCH08,14017,DROP,SMASH,0.7559,1.8073,4,1,Midcourt,1,0,4,CLEAR,1.9573,2.1448,1.0092
Top30_DROP_to_SMASH,912,MATCH07,63092,DROP,SMASH,0.7498,1.1549,3,1,Frontcourt,1,0,9,PUSH/DRIVE,2.9063,2.7990,1.0614
Top30_DROP_to_SMASH,935,MATCH07,90751,DROP,SMASH,0.7485,1.1377,9,1,Rearcourt,1,0,3,PUSH/DRIVE,2.5217,3.2423,0.8576
Top30_DROP_to_SMASH,1113,MATCH38,85377,DROP,SMASH,0.7480,1.5398,13,1,Unknown,0,0,2,UNKNOWN,1.6298,2.0632,0.9593
Top30_DROP_to_SMASH,957,MATCH08,59124,DROP,SMASH,0.7365,1.1999,3,1,Frontcourt,0,0,5,LIFT/CLEAR,1.5937,2.3968,1.0922
