experiment,checkpoint_filename,full_path,file_size_bytes,sha256,modified_timestamp,architecture,input_dim,output_classes,trainable_params,base_model,associated_report,training_script
EXP_DRIVE_01,08_BEST_CHECKPOINT.pt,D:/PS_DATA/DRIVE_EXPERIMENTS/EXP_DRIVE_01_CLASS_WEIGHT/02_CHECKPOINTS/08_BEST_CHECKPOINT.pt,4084525,eae25d5cbbfb93842acf67f7313069ac73874d260fc3d3f59df8b3a860e806e8,2026-09-20T09:57:54,MultimodalTransformerLSTMClassifier,[16x512]+27D_aux,5,UNKNOWN,ResNet-18+EXP05_foundation,N/A,N/A
EXP_DRIVE_02,08_BEST_CHECKPOINT.pt,D:/PS_DATA/DRIVE_EXPERIMENTS/EXP_DRIVE_02_IS_OVERHEAD_ABLATION/02_CHECKPOINTS/08_BEST_CHECKPOINT.pt,4084525,c5cd5d47870742ad242924c3bdabc5947820638efab6a6f4a87b30ff9f99970a,2026-09-20T10:11:05,MultimodalTransformerLSTMClassifier,[16x512]+27D_aux,5,UNKNOWN,ResNet-18+EXP05_foundation,N/A,N/A
EXP_DRIVE_05,EXP_DRIVE_05_best_checkpoint.pt,D:/PS_DATA/DRIVE_EXPERIMENTS/EXP_DRIVE_05_TEMPORAL_WINDOW/03_CHECKPOINTS/EXP_DRIVE_05_best_checkpoint.pt,4085619,9b855de5ed06c9c03563d07f225bbe4d522ffa527935d37104b9f2bfc0dbbf23,2026-09-20T16:31:59,MultimodalTransformerLSTMClassifier,[16x512]+27D_aux (Window_C),5,UNKNOWN,ResNet-18_frozen,EXP_DRIVE_05_TEMPORAL_WINDOW_REPORT.md,train_exp_drive_05.py
EXP_DRIVE_08B_best,EXP_DRIVE_08B_best_checkpoint.pt,D:/PS_DATA/DRIVE_EXPERIMENTS/EXP_DRIVE_08B_HV_MOTION/03_CHECKPOINTS/EXP_DRIVE_08B_best_checkpoint.pt,4086490,0b296996d8cd7a63a5449a0a6fb21d4e84817be0bed3aeb1b837da4dfc75f164,2026-09-21T01:00:56,MultimodalTransformerLSTMClassifier,[16x512]+28D_aux,5,337221,ResNet-18+EXP05+HV_Motion,EXP_DRIVE_08B_HV_MOTION_FUSION_REPORT.md,train_exp_drive_08b.py
EXP_DRIVE_08B_latest,EXP_DRIVE_08B_latest_checkpoint.pt,D:/PS_DATA/DRIVE_EXPERIMENTS/EXP_DRIVE_08B_HV_MOTION/03_CHECKPOINTS/EXP_DRIVE_08B_latest_checkpoint.pt,4089832,23b698d842a83f5462cb1e3f3ff64ec27af52d423c0f02892deae43c8773957a,2026-09-21T01:03:32,MultimodalTransformerLSTMClassifier,[16x512]+28D_aux,5,337221,ResNet-18+EXP05+HV_Motion,SAME_AS_BEST,train_exp_drive_08b.py
EXP_DRIVE_10_best,EXP_DRIVE_10_best_checkpoint.pt,D:/PS_DATA/DRIVE_EXPERIMENTS/EXP_DRIVE_10_EARLY_MOTION/03_CHECKPOINTS/EXP_DRIVE_10_best_checkpoint.pt,4087155,084420635c1e40573ff9550c43cc015d2d17e10105075a2ba67a7da917787b38,2026-09-21T02:22:17,MultimodalTransformerLSTMClassifier,[16x512]+29D_aux,5,UNKNOWN,ResNet-18+EXP08B+EarlyMotion,EXP_DRIVE_10_EARLY_MOTION_FUSION_REPORT.md,train_exp_drive_10.py
EXP_DRIVE_11_best,EXP_DRIVE_11_best_checkpoint.pt,D:/PS_DATA/DRIVE_EXPERIMENTS/EXP_DRIVE_11_PROTECTED_DRIVE_GATE/03_CHECKPOINTS/EXP_DRIVE_11_best_checkpoint.pt,8593,9ef77e6bdba535a20e330b2e41a502d37ea58fa7a75d2ec0f9af69519fe5924a,2026-09-21T02:31:34,ProtectedDriveGate_ONLY (NOT standalone),[5D_logits]+[1D_scalar_m],5,27,Frozen_EXP_DRIVE_08B+EarlyMotion_scalar,EXP_DRIVE_11_PROTECTED_DRIVE_GATE_REPORT.md,train_exp_drive_11.py
EXP_23_A,EXP_23_A_best_model.pt,D:/PS_DATA/PHASE_23_COMBINED_AUGMENTATION/03_CHECKPOINTS/EXP_23_A_best_model.pt,1341480,d66bb0829abab466c647ab4a6123797098b6cefabcea4f732772c2fe91b4b039,2026-09-16T11:41:17,BadmintonTransformerLSTMClassifier (visual-only),[16x512],5,330885,ResNet-18_frozen,EXP_23_FINAL_REPORT.md,train_exp23.py
EXP_23_B,EXP_23_B_best_model.pt,D:/PS_DATA/PHASE_23_COMBINED_AUGMENTATION/03_CHECKPOINTS/EXP_23_B_best_model.pt,1341480,deccb80579e27caf01f2ea1a5b7a1ea3ee8594ca96cc27d3e233e215e8d6cd2b,2026-09-16T11:46:01,BadmintonTransformerLSTMClassifier (visual-only),[16x512],5,330885,ResNet-18_frozen,EXP_23_FINAL_REPORT.md,train_exp23.py
EXP_23_C (PRODUCTION),EXP_23_C_best_model.pt,D:/PS_DATA/PHASE_23_COMBINED_AUGMENTATION/03_CHECKPOINTS/EXP_23_C_best_model.pt,1341480,cd511db28d5df5d0e400ecce957ce0db79ea57c553d862fdf6c2be0360a31e59,2026-09-16T11:54:48,BadmintonTransformerLSTMClassifier (visual-only),[16x512],5,330885,ResNet-18_frozen,EXP_23_FINAL_REPORT.md,train_exp23.py
